Datetime,Content,Username,DisplayName,Location,Lang,Content_en
2023-04-28 05:26:08+00:00,jaimeto47395131 eduardorosass tuimss y que sigue habiendo p3endejos como tu jajaja por eso los manejan en sus marchas rosas por tontos,guillermo0508,guillermo,unknow,es,eduardorosass tuimss y que sigue habiendo como tu jajaja por eso los manejan en sus marchas rosas por tontos
2023-04-30 06:01:12+00:00,reynalovess reyna soy fan saludame porfa saludos desde el imss,davidolvera_g,davidolverag,? ,es,reynalovess reyna soy fan saludame porfa saludos desde el imss
2023-05-31 02:20:57+00:00,"samuelgarcias tigresfemenil y nuevo leon echo una m13d4por tu culpa
ve alas clinicas del imss son mas mierdas que tu para con nuevo leon",audioarmty,audioar mty,unknow,es,samuelgarcias tigresfemenil y nuevo leon echo una tu culpa ve alas clinicas del imss son mas mierdas que tu para con nuevo leon
2023-04-27 16:35:14+00:00,"caloshhh aja
entre tanto el fracaso del insabi y la sobresaturacion del imss el conacyt del bienestar y la desaparicion de otras dependencias",morthigull,joe barbarian,unknow,es,caloshhh aja entre tanto el fracaso del insano y la sobresaturacion del imss el contact del bienestar y la desaparición de otras dependencias
2023-06-04 21:57:21+00:00,"petrogustavo medellin nunca tendra paz cuando su alcalde de turno lleva mas de 8207 abortos registrados con orgullo por la secretaria de salud esto es aberrante cinicos descarados un pais que mate a sus infantes esta destinado al fracaso
nosestanmatando 
quirndiolaorden",godiegarciat,diego garcia tamayo,"medellin, antioquia",es,petrogustavo medallón nunca tendra paz cuando su alcalde de turno lleva mas de abortos registrados con orgullo por la secretaria de salud esto es aberrante cínicos descarados un pais que mate a sus infantes esta destinado al fracaso nosestanmatando quirndiolaorden
2023-06-02 00:49:14+00:00,radioformula cirogomezl german martinez ademas de corruptole muerde la mano a quien le dio de comer en el imss,ignaciocurielm1,ignacio curiel montes,unknow,es,radioformula cirogomezl german martinez ademas de corrupto muerde la mano a quien le dio de comer en el imss
2023-02-05 17:39:04+00:00,"imaginese debo recurrir a un politico que este en la secretaria de salud para que me atiendan y fijo son del mismo talante que duvalier mondragon y wilson arias
voy a morir ",ines12c,ines elvira de mosquera ,colombia,es,imaginese debo recurrir a un politico que este en la secretaria de salud para que me atiendan y fijo son del mismo talante que duvalier mondragon y wilson arias voy a morir
2023-01-20 18:19:14+00:00,creo que es mas facil agarrar base en la secretaria de salud que agarrar boletos para los caneros,luisquinterolm,crap bag,unknow,es,creo que es mas facil agarrar base en la secretaria de salud que agarrar boletos para los caseros
2023-06-17 21:20:07+00:00,jesusservin elcampos tuimss el pais donde esta prohibido enfermarse pero hay pendejos que creen que tenemos sistema de salud como dinamarca asi los tiene atolizados el engana pendejos o no eseerick ,robrodgon1,robert,53100,es,jesusservin campos tuimss el pais donde esta prohibido enfermarse pero hay pendejos que creen que tenemos sistema de salud como dinamarca asi los tiene autorizados el engaña pendejos o no eseerick
2023-05-06 19:01:53+00:00,hisoymario lydimdeo el imss no tiene infraestructura de hospitales de equipo medico de personal para atender su propia poblacion derechohabiente que paga de manera tripartita para que el mismo funcione  menos para atender 55 millones mas es una burla a quien le quieren ver la cara,tambor1511,tambor15,"guanajuato, mexico",es,hisoymario lydimdeo el imss no tiene infraestructura de hospitales de equipo medico de personal para atender su propia población derechohabiente que paga de manera tripartita para que el mismo funcione menos para atender millones mas es una burla a quien le quieren ver la cara
2023-05-13 22:22:48+00:00,gobiernomx tuimss soy medico y ni encuentro trabajo gobierno de 4,ozkarnohe,oscar noe,new york df,es,gobierno tuimss soy medico y ni encuentro trabajo gobierno de
2023-05-07 17:00:51+00:00,solo en 2021 de acuerdo con datos del imss en mexico se registraron mas de 439 mil riesgos de trabajo httpstcoxjlbj0f2mp,idconline,idc,mexico,es,solo en de acuerdo con datos del imss en mexico se registraron mas de mil riesgos de trabajo
2023-03-28 17:07:48+00:00,"inicio la etapa b de para la vacunacion antigripal 2023
la secretaria de salud informa que  dio comienzo un nuevo tramo de la campana al igual que el ano pasado se realizara por etapas

mas detalles 

httpstcolk7uwseyoq httpstcoxeobo7viub",infobrandsen,infobrandsen,brandsen pcia de buenos aires,es,inicio la etapa b de para la vacunación antigripales la secretaria de salud informa que dio comienzo un nuevo tramo de la campana al igual que el ano pasado se realizara por etapas mas detalles
