Datetime,Content,Username,DisplayName,Location,Lang,Content_en
2023-04-30 22:17:37+00:00,ositoestrellita ssaludmx cofepris hlgatell lopezobrador tienes razon mailobpor donde quiera hay venta de medicamentosy la secretaria de salud ni pios dicehay demasiado contrabando de medicamentos de de hospitales a otros localeses un robo cuantioso de medicamento que salen del imss e issste y luego te dicen que no hay,solipedo,verne@julian manuel.92,cd.belice/yucatan,es,ositoestrellita ssaludmx cofepris hlgatell lopezobrador tienes razon mailobpor donde quiera hay venta de medicamentos la secretaria de salud ni dios dicha demasiado contrabando de medicamentos de de hospitales a otros locales un robo cuantioso de medicamento que salen del imss e issste y luego te dicen que no hay
2023-05-29 21:24:00+00:00,"conoces los beneficios de cotizar ante el imss
atencion medica sin restricciones pension infonavit incapacidades y afore contactanos whatsapp 5529287029 httpstcodfk6f3blmf
imss infonavit incapacidades afore atencionmedica pension guarderias httpstcoqlnfkp4dct",nahumsolis18,grupo ius,"ecatepec de morelos, mexico",es,conoces los beneficios de cotizar ante el imss atención medica sin restricciones pension infonavit incapacidades y adore contactarnos whatsapp imss infonavit incapacidades adore atencionmedica pension guarderías
2023-06-15 21:34:41+00:00,smaciasr lopezobrador hlgatell tuimss eres un infeliz,eugsolano,juan chairo (#amlover),mexico y sus alrededores,es,saciar lopezobrador hlgatell tuimss eres un infeliz
2023-05-13 04:44:45+00:00,"urgente

serviciosocial

se requieren donadores de sangre para rosa elda cepeda saucedo quien esta internada en la clinica 2 del imss  saltillo

favor de contactarse con 
ana cepeda 844 409 3159

donasangre donavida",osvaldo_xhsj,osvaldo quiroz,"saltillo, coahuila",es,urgente serviciosocial se requieren donadores de sangre para rosa ella celda sucede quien esta internada en la clinica del imss altillo favor de contactarse con ana celda donasangre donada
2023-06-23 18:35:19+00:00,tenia anos que no pisaba el imss menos urgencias httpstconzfezbtans,marlenr61175782,marlen rodriguez,unknow,es,tenia anos que no pisaba el imss menos urgencias httpstconzfezbtans
2023-05-15 03:46:23+00:00,imss cuenta con mas de 25 mil enfermeras adicionales httpstco9xurzg52kj,jsbg31,jhonny be good,unknow,es,imss cuenta con mas de mil enfermeras adicionales
2023-05-18 01:34:45+00:00,denyanine dice el del imss que a ver las tetorras httpstcomuuxcfmsou,soyppvazquez,pepe vazquez,"guadalajara, jal., mexico",es,denyanine dice el del imss que a ver las teorías httpstcomuuxcfmsou
2023-06-20 04:46:57+00:00,aprueba h consejo tecnico informe sobre situacion financiera y riesgos del imss 20222023  httpstcohf2o0ftfg8 httpstcodnnt1znlyo,jrz3061,voragine ,"df, mexico",es,aprueba h consejo tecnico informe sobre situación financiera y riesgos del imss
2023-03-08 03:03:54+00:00,"yo trabajo a la hora que quiero y cuando quiera
como es posible eso
por que amo lo que hago amo a la secretaria de salud es mi pasion y mi labor ideal ",leo_albaj,leonel alba ,"cuernavaca, morelos",es,yo trabajo a la hora que quiero y cuando quiera como es posible eso por que amo lo que hago amo a la secretaria de salud es mi pasion y mi labor ideal
2023-05-10 14:36:14+00:00,alfredoalvarezz ricardomonreala zoerobledo tuimss pura coincidencia que mal pensados son,gc2506_gera,gerardo guzman,unknow,es,alfredoalvarezz ricardomonreala zoerobledo tuimss pura coincidencia que mal pensados son
2023-04-26 23:23:47+00:00,es una verdadera pesadilla tener la necesidad de acudir al imss  mi mama estuvo dos semanas internada y le cancelaron su cirugia por falta de personal del 4 al 14 de abril ahora no nos proporcionan bolsas de dialisis por que no abastecen la farmacia,andreasanbel,andrea  san bel,unknow,es,es una verdadera pesadilla tener la necesidad de acudir al imss mi mama estuvo dos semanas internada y le cancelaron su cirugia por falta de personal del al de abril ahora no nos proporcionan bolsas de dialisis por que no abastecen la farmacia
2023-06-02 21:35:16+00:00,esto es muy grave y tiene un fin perverso de fondo las noms establecian un piso minimo para la atencion de diversos padecimientos al no tenerlas ese piso minimo no existe saben que el imssbienesrar sera un fracaso y no tendra la capacidad de brindar atencion de 12,munozemt,manuel munoz,mexico,es,esto es muy grave y tiene un fin perverso de fondo las nos establecido un piso minimo para la atención de diversos padecimientos al no tenerlas ese piso minimo no existe saben que el imssbienesrar sera un fracaso y no tendra la capacidad de brindar atención de
2023-02-21 22:21:49+00:00,caliescalicol ehh que burrada estan viendo que no hace nada que sus bolsillos estan llenos investigando y le dan ese poco de plata o van por lo de ellos tambien ahora que elijan a su ex secretaria de salud sigan por las mismas,oehg,oscar h,"valle del cauca, colombia",es,caliescalicol ehh que burrada estan viendo que no hace nada que sus bolsillos estan llenos investigando y le dan ese poco de plata o van por lo de ellos tambien ahora que elijan a su ex secretaria de salud sigan por las mismas
2023-05-17 20:49:53+00:00,"morelos se prepara para ser la sede del encuentro de las americas de turismo social mexico 2023
el evento se llevara a cabo del 16 al 21 de mayo en el centro vacacional imss oaxtepec 

turismo turismomexico morelos mexico culturamexicana httpstcoihb0doa2t0",normanu47772808,norma nunez,"leona vicario, quintana roo.",es,modelos se prepara para ser la sede del encuentro de las american de turismo social mexico el evento se llevara a cabo del al de mayo en el centro vacacional imss oaxtepec turismo turismomexico modelos mexico culturamexicana
2023-06-16 12:30:01+00:00,"zoe robledo imss se destapo para la candidatura a la gubernatura de chiapas declaro que sera una de las ocho personas que dejaran sus cargos en la administracion federal 

contrareplica",josevictor_rdz,jose victor rodriguez,ciudad de mexico,es,zoe robado imss se destapo para la candidatura a la gubernatura de chispas declaro que sera una de las ocho personas que dejaran sus cargos en la administración federal contrareplica
2023-06-01 16:11:54+00:00,gobqro por que el issste de veracruz esta en buen estado y el issste de queretaro tiene mas de 5 anos con puertas encadenadas sucio y tan deteriorado por primera vez me dieron toda mi medicina ,3383lupita,alejandria maldonado,queretaro ,es,gorro por que el issste de veracruz esta en buen estado y el issste de queretaro tiene mas de anos con puertas encadenadas sucio y tan deteriorado por primera vez me dieron toda mi medicina
2023-06-17 13:44:18+00:00,me acabo de dar cuenta que mis zapatos blancos tienen el logo del imss,bmassagala,cruzito,en tu corazon ,es,me acabo de dar cuenta que mis zapatos blancos tienen el logo del imss
2023-05-15 04:05:57+00:00,mreldiablo8 tuimss pero por que dan por hecho que eran actos sxls el senor se tiene una fijacion oral en la etapa lactante esta generacion de cristal es cada vez mas insoportable,antraxonion,antraxonion ,la vida me puso en el maresme ,es,tuimss pero por que dan por hecho que eran actos sus el senor se tiene una fijación oral en la etapa lactante esta generación de cristal es cada vez mas insoportable
2023-04-28 05:26:35+00:00,grajalestv imsspue renesanchezp3 leobardosoto ctmpuebla solo van para salir en la foto y despues los buscas y ni sus luces,dsimpso62996213,dhasim,unknow,es,grajalestv imsspue leobardosoto ctmpuebla solo van para salir en la foto y despues los buscas y ni sus luces
2023-05-16 17:18:22+00:00,tuimss el dia de ayer me toco ir por medicamentos a la clinica familiar 34 de guadalajara jal mi receta tenia losartan y anlodipino el cual losartan no tenia y por esa causa no me entregaron la anlodipino que si tenian me bloquearon la receta que mal servicio y atencion,mangpes,angel parra,"guadalajara, jalisco",es,tuimss el dia de ayer me toco ir por medicamentos a la clinica familiar de guadalajara al mi receta tenia losartan y anlodipino el cual losartan no tenia y por esa causa no me entregaron la anlodipino que si tenian me bloquearon la receta que mal servicio y atención
2023-02-06 13:40:00+00:00,"comodoro  la secretaria de salud abrio un concurso abierto para cubrir cargos profesionales

leer mas en httpstco4syhc3yj7b httpstcofr4zykhiq7",elcomodorense,el comodorense,comodoro rivadavia,es,comodoro la secretaria de salud abrio un concurso abierto para cubrir cargos profesionales leer mas en
2023-05-05 00:41:20+00:00,zoerobledo tuimss excelente labor zoe matamoros tamaulipas lo reconoce,cilos_alfredo,alfredo glz cilos,"matamoros, tamaulipas",es,zoerobledo tuimss excelente labor zoe matamos tamaulipas lo reconoce
