Datetime,Content,Username,DisplayName,Location,Lang,Content_en
2023-06-25 03:50:39+00:00,78ae1f671ba4424 zoerobledo esperemos den atencion sino escalamos mas y mas e invito a todas las personas que estan en este momento con pacientes en cualquier imss a que se obliguen a  pedir un trato digno y cumplan con su etica profesional,pita5996,guadalupe delgadillo,unknow,es,zoerobledo esperemos den atención sino escalamos mas y mas e invito a todas las personas que estan en este momento con pacientes en cualquier imss a que se obliguen a pedir un trato digno y cumplan con su etica profesional
2023-06-20 17:15:46+00:00,armanazul lopezobrador tuimss ya es gananciaporque hace algunos anos  a mi esposa en el imss le diagnosticaron melanomacancer de piel le dieron cita para operarla 6 meses despues que no se podia antes y le dijeron que si seguia viva para entonces la operaban,hernandxt,hernan michael,unknow,es,armanazul lopezobrador tuimss ya es gananciaporque hace algunos anos a mi esposa en el imss le diagnosticaron melanomacancer de piel le dieron cita para operarla meses despues que no se podia antes y le dijeron que si seguia viva para entonces la operaban
2023-06-02 18:23:14+00:00,"lazarosanchezt1 ya fue mucho hacerle al tio lolo por favor ya basta de impunidad para esta persona ya hay que ponerla en su lugar
ah pero que no fuera un medico del imss porque ahi ya lo estuvieran crucificando ",ricardo171964,ricardo perez,unknow,es,ya fue mucho hacerle al tio solo por favor ya basta de impunidad para esta persona ya hay que ponerla en su lugar ah pero que no fuera un medico del imss porque ahi ya lo estuvieran crucificando
2023-05-14 16:51:27+00:00,rosaliliatorrs zoerobledo tuimss hessigloxxi debil ser despedido de inmediato y fincarle responsabilidad e inhabilitacion pero de seguro zoerobledo lo cubrira ya ven que se levanta temprano para trabajar y lo presume o quizas le guste esas mananeras,yetmbcruz,andres cruz,unknow,es,rosaliliatorrs zoerobledo tuimss hessigloxxi debil ser despedido de inmediato y hincarle responsabilidad e inhabilitación pero de seguro zoerobledo lo cubrira ya ven que se levanta temprano para trabajar y lo presume o quizas le guste esas maneras
2023-06-22 02:37:48+00:00,croc cancun e imss se unen para impartir el foro entornos laborales seguros y saludables elssa  httpstconqvktdqunk httpstcod17htm6snr,cancunmio,cancunmio.com,cancun,es,crac cancán e imss se unen para impartir el foro entornos laborales seguros y saludables elsa httpstconqvktdqunk
2023-05-27 12:21:55+00:00,"bethcastilloo lo mismo pienso del imss issste liquidacion prima de antiguedad y todos los pagos por despido solo me parecen correctos el aguinaldo y vacaciones y pensiones por edad o invalidez

pero bueno",aragonequity,felipe ponce,"pueblo viejo, mexico",es,bethcastilloo lo mismo pienso del imss issste liquidación prima de antiguedad y todos los pagos por despido solo me parecen correctos el aguinaldo y vacaciones y pensiones por edad o invalidez pero bueno
2023-05-18 20:26:51+00:00,y ahora resulta que en el imss si no llevo los mcg apuntados no esta bien que si no tiene hipos y se les indica nos estamos negando a recibir sus indicaciones y hasta gigantismo refieren   antillonendop httpstcoblqfezzx5p,horrzitou,jorge solares silva,mexico d.f.,es,y ahora resulta que en el imss si no llevo los mg apuntados no esta bien que si no tiene hipos y se les indica nos estamos negando a recibir sus indicaciones y hasta gigantismo refieren antillonendop
2023-06-14 12:45:34+00:00,como puedo obtener incapacidad permanente por long covid en el imss longcovid longcovidmexico covidpersistente,esperan60971484,hope cruz,unknow,es,como puedo obtener incapacidad permanente por long comida en el imss longcovid longcovidmexico covidpersistente
2023-01-31 00:13:15+00:00,bucaramanga es uno de los municipio que tiene mas casos de covp19 y la secretaria de salud del municipio no esta realizando nada sobre el tema httpstcoannfemj1l4,valeroma2704,juanrobinson,unknow,es,bucaramanga es uno de los municipio que tiene mas casos de y la secretaria de salud del municipio no esta realizando nada sobre el tema
2023-05-02 19:12:22+00:00,magda23270111 axl400 laguillogomez suena interesante la maniobra dos presuestos y los servicios tambien  entonces el titulo imss bienestar es solo para impresionar no utilizaran las instalaciones ni personal del imss,raafful,rafael cortez moreno,unknow,es,laguillogomez suena interesante la maniobra dos repuestos y los servicios tambien entonces el titulo imss bienestar es solo para impresionar no utilizaran las instalaciones ni personal del imss
2023-06-21 04:25:29+00:00,adanaugusto que calumnia ustedes sacan los fajos de billetes del metro del imss y de todos los programas que cancelaron para robarse perdon para ahorrarse ese dinero,rickhunterskull,j_r,unknow,es,adanaugusto que calumnia ustedes sacan los fajos de billetes del metro del imss y de todos los programas que cancelaron para robarse perdon para ahorrarse ese dinero
2023-02-25 17:55:43+00:00,tlaxcala   jornada de vacunacion contra la covid19 tetanos influenza y hepatitis b realiza la secretaria de salud de tlaxcala en el municipio de la magdalena tlaltelulco httpstcomaw2hoiktw,enfoque_agencia,agencia enfoque,"puebla, mexico",es,tlaxcala jornada de vacunación contra la tétanos influenza y hepatitis b realiza la secretaria de salud de tlaxcala en el municipio de la magdalena tlaltelulco
2023-05-01 18:20:54+00:00,juanburgos las batas del imss ja ja ja ,lizyqg,una mama que twittea,unknow,es,juanburgos las batas del imss ja ja ja
2023-05-02 21:24:04+00:00,mariodico50 ojala los transfieran al imss para atender a lo no asegurados que ahora seran atendidos por ese instituto,luz6399,malu mejia,unknow,es,ojala los transfieran al imss para atender a lo no asegurados que ahora seran atendidos por ese instituto
2023-05-31 17:17:29+00:00,lu15cdmx omnianoticias tiempodigitalmx laopcion elpunteromx puentelibre diariochihuahua heraldocuu heraldodejuarez noticiaschih wnchihuahua impactocamargo elchileronews noticiascuauht1 diariodejuarez y ve las carreteras federales de chihuahua destruidas el imss y issste y sin servicio telefonico los trabajadores roban medicinas y se les dice no hacen nada entiende no soy aplaudidor soy izquierda pensante,izqlatammarx,laoshi no like lee y reflexiona.,"montes prianistas, chihuahua",es,omnianoticias tiempodigitalmx laopcion elpunteromx puentelibre diariochihuahua heraldocuu heraldodejuarez noticiaschih chihuahua impactocamargo elchileronews diariodejuarez y ve las carreteras federales de chihuahua destruidas el imss y issste y sin servicio telefonico los trabajadores roban medicinas y se les dice no hacen nada entiende no soy aplaudido soy izquierda pensante
2023-05-08 13:30:35+00:00," la secretaria de salud de medellin intensifico las acciones de vigilancia prevencion y control contra el dengue y emitio circular por alerta de esta enfermedad en la ciudad
atienda las recomendaciones 
httpstcoaclazryump",vivirpoblado,vivir en el poblado,medellin - colombia,es,la secretaria de salud de medallón intensifica las acciones de vigilancia prevención y control contra el dengue y emitir circular por alerta de esta enfermedad en la ciudad atienda las recomendaciones httpstcoaclazryump
2023-06-26 13:15:21+00:00,pedroferriz si hubieran hecho una potencia de mexico hoy seguiran vivos pero no solo se hicieron ricos a mas no poder y lo poco que hicieron fue para disimular como imss afores,sam_arevalo07,sam,unknow,es,pedroferriz si hubieran hecho una potencia de mexico hoy seguiran vivos pero no solo se hicieron ricos a mas no poder y lo poco que hicieron fue para disimular como imss amores
2023-05-03 17:49:37+00:00,"carlosloret y de que va a vivir lopez

solo tenia 200 pesos y no ha cotizado en el imss para tener pension",cepedaantonio93,antonio cepeda,"leon, guanajuato",es,carlosloret y de que va a vivir lopez solo tenia pesos y no ha cotizado en el imss para tener pension
2023-06-19 23:48:51+00:00,presenta 100 del personal del issste declaracion de modificacion patrimonial 2023 httpstcoppfrqhid4b httpstcowzlc3o59yv,asi_sucede,asi sucede toluca,"toluca, mexico",es,presenta del personal del issste declaración de modificación patrimonial
2023-05-23 21:16:57+00:00,la campana la solucion esta en sus manos es una iniciativa conjunta entre la secretaria de salud del municipio de cucuta y la oficina de sgsst de la uba vihonco ips sas para prevenir enfermedades como la tbc y el covid que estan en aumento en nuestra ciudad todos a protegernos httpstcoxrqkx5d2j8,ubavihoncosas,uba vihonco s.a.s - 3237945506,av 3e # 13-15 / b. caobos,es,la campana la solución esta en sus manos es una iniciativa conjunta entre la secretaria de salud del municipio de cicuta y la oficina de psst de la una vihonco is sas para prevenir enfermedades como la toc y el comida que estan en aumento en nuestra ciudad todos a protegernos
2023-03-27 22:59:18+00:00,"esto es totalmente inaceptable y minsaludcol carolinacorcho deben estar al tanto de eso

no es posible que una secretaria de salud afirme que amenazas contra la vida de medicos y su posterior desplazamiento forzado de la plaza no sean causal de exoneracion",andresfsalcedop,andres salcedo,unknow,es,esto es totalmente inaceptable y minsaludcol carolinacorcho deben estar al tanto de eso no es posible que una secretaria de salud afirme que amenazas contra la vida de medicos y su posterior desplazamiento forzado de la plaza no sean causal de exoneración
